team_id,No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
23,14,Ricky Council IV,SF,6-6,205,August 3 2001,us US,1,Wichita State/Arkansas,73,12,17.1,2.4,6.3,0.382,0.8,2.9,0.258,1.7,3.4,0.488,0.442,1.7,2.1,0.804,0.7,2.2,2.9,1.3,0.4,0.2,0.7,0.9,7.3,,councri01
23,28,Guerschon Yabusele,C,6-8,260,December 17 1995,fr FR,2,,70,43,27.1,4,8,0.501,1.5,3.9,0.38,2.5,4.1,0.616,0.593,1.4,2,0.725,1.9,3.7,5.6,2.1,0.8,0.3,1.2,2.3,11,,yabusgu01
23,9,Kelly Oubre Jr.,SF,6-8,203,December 9 1995,us US,9,Kansas,60,57,34.6,5.8,12.4,0.47,1.2,4,0.293,4.6,8.3,0.555,0.518,2.3,3.1,0.751,1.6,4.5,6.1,1.8,1.5,0.5,1.3,3,15.1,,oubreke01
23,30,Adem Bona,C,6-10,235,March 28 2003,ng NG,R,UCLA,58,11,15.6,2.3,3.3,0.703,0,0,0,2.3,3.3,0.707,0.703,1.2,1.7,0.67,1.6,2.6,4.2,0.5,0.4,1.2,1.1,2.2,5.8,,bonaad01
23,0,Tyrese Maxey,PG,6-2,200,November 4 2000,us US,4,Kentucky,52,52,37.7,9.2,21,0.437,3.1,9.2,0.337,6.1,11.8,0.515,0.511,4.9,5.6,0.879,0.3,3.1,3.3,6.1,1.8,0.4,2.4,2.2,26.3,,maxeyty01
23,19,Justin Edwards,SF,6-6,203,December 16 2003,us US,R,Kentucky,44,26,26.3,3.9,8.6,0.455,1.6,4.3,0.363,2.3,4.3,0.548,0.546,0.7,1,0.696,1,2.3,3.4,1.6,1,0.4,1.1,2.2,10.1,,edwarju01
23,8,Paul George,PF,6-8,220,May 2 1990,us US,14,Fresno State,41,41,32.5,6,13.9,0.43,2.3,6.5,0.358,3.6,7.4,0.493,0.514,1.9,2.4,0.814,0.6,4.8,5.3,4.3,1.8,0.5,2.6,2.5,16.2,,georgpa01
23,11,Jeff Dowtin Jr.,PG,6-3,185,May 10 1997,us US,3,Rhode Island,41,3,15.1,2.7,5.6,0.487,0.7,1.7,0.4,2,3.9,0.525,0.548,0.8,1.1,0.733,0.3,1.2,1.5,1.9,0.6,0.3,0.4,0.7,7,,dowtije01
23,15,Andre Drummond,C,6-11,279,August 10 1993,us US,12,UConn,40,23,18.8,2.9,5.9,0.5,0.1,0.5,0.15,2.9,5.4,0.533,0.506,1.4,2.3,0.622,2.7,5,7.8,0.9,1,0.5,1.4,2.4,7.3,,drumman01
23,23,Eric Gordon,SG,6-3,215,December 25 1988,us US,16,Indiana,39,13,19.7,2.2,5.2,0.426,1.4,3.5,0.409,0.8,1.7,0.463,0.564,0.9,1.2,0.75,0.2,1,1.2,1.7,0.7,0.3,0.7,0.8,6.8,,gordoer01
23,7,Kyle Lowry,PG,6-0,196,March 25 1986,us US,18,Villanova,35,12,18.8,1.2,3.3,0.35,0.8,2.5,0.33,0.3,0.8,0.414,0.474,0.8,0.9,0.818,0.3,1.6,1.9,2.7,0.9,0.3,0.6,1.8,3.9,,lowryky01
23,5,Quentin Grimes,SG,6-5,205,May 8 2000,us US,3,Kansas/Houston,28,25,33.7,7.7,16.4,0.469,2.9,7.9,0.373,4.8,8.5,0.559,0.559,3.6,4.8,0.752,1,4.1,5.2,4.5,1.5,0.4,2.9,2.1,21.9,,grimequ01
23,12,Jared Butler,SG,6-3,195,August 25 2000,us US,3,Baylor,28,17,24.4,4.2,9.9,0.426,1.6,4.6,0.352,2.6,5.3,0.49,0.507,1.4,1.6,0.87,0.4,2.1,2.5,4.9,1.1,0.3,1.8,2,11.5,,butleja02
23,20,Jared McCain,SG,6-2,195,February 20 2004,us US,R,Duke,23,8,25.7,5.5,11.9,0.46,2.2,5.8,0.383,3.3,6.1,0.532,0.553,2.1,2.4,0.875,0.6,1.9,2.4,2.6,0.7,0,1.6,1.6,15.3,,mccaija01
23,16,Lonnie Walker IV,SG,6-4,204,December 14 1998,us US,6,Miami (FL),20,7,23.9,4.5,10.6,0.42,2.3,6.4,0.354,2.2,4.3,0.518,0.526,1.2,1.5,0.8,0.3,2.9,3.2,2.5,0.5,0.3,1.3,1.4,12.4,,walkelo01
23,21,Joel Embiid,C,7-0,280,March 16 1994,cm CM,8,Kansas,19,19,30.2,7.4,16.6,0.444,1.2,4.1,0.299,6.2,12.5,0.492,0.481,7.8,8.9,0.882,1.9,6.3,8.2,4.5,0.7,0.9,3.3,2.2,23.8,,embiijo01
23,65,Alex Reese,PF,6-9,245,May 21 1999,us US,R,Alabama,14,0,15.3,1.8,3.8,0.472,1.1,2.9,0.366,0.7,0.9,0.833,0.613,0.6,0.9,0.75,0.6,2.7,3.3,0.3,0.7,0.7,0.4,1.5,5.3,,reeseal01
23,17,Jalen Hood-Schifino,SG,6-6,215,June 19 2003,us US,1,Indiana,13,0,23.2,2.8,7.5,0.371,1.1,3.5,0.304,1.7,3.9,0.431,0.443,1.2,1.5,0.842,0.2,1.8,2,2.8,0.4,0.5,1.3,1.7,7.8,,hoodsja01
23,25,Isaiah Mobley,PF,6-8,240,September 24 1999,us US,2,USC,1,0,17,2,7,0.286,1,3,0.333,1,4,0.25,0.357,1,2,0.5,1,3,4,5,1,1,0,3,6,,mobleis01
